Movement1,Movement2,SameClass,Subject1,Subject2,Distance
BothReleased,HandStart,False,1,5,32.526945207915496
BothReleased,HandStart,False,1,6,32.79795479265382
BothReleased,HandStart,False,1,7,27.725000887608747
BothReleased,HandStart,False,1,8,39.60586329999814
BothReleased,HandStart,False,1,9,42.81497407567249
BothReleased,HandStart,False,1,10,28.514029141438265
BothReleased,HandStart,False,1,11,23.193041569711443
BothReleased,HandStart,False,1,12,29.109791130714555
BothReleased,HandStart,False,4,1,29.163205603002147
BothReleased,HandStart,False,4,2,26.27242261366296
BothReleased,HandStart,False,4,3,26.881886381982536
BothReleased,HandStart,False,4,5,34.15965182104941
BothReleased,HandStart,False,4,6,32.710149018269405
BothReleased,HandStart,False,4,7,29.186445442764832
BothReleased,HandStart,False,4,8,41.94903475763229
BothReleased,HandStart,False,4,9,42.60730406503239
BothReleased,HandStart,False,4,10,30.574285700832718
BothReleased,HandStart,False,4,11,23.295683590345067
BothReleased,HandStart,False,4,12,32.688156831549904
BothReleased,HandStart,False,11,1,34.402964854351616
BothReleased,HandStart,False,11,2,31.455763849011383
BothReleased,HandStart,False,11,3,28.17980476740109
BothReleased,HandStart,False,11,4,34.60695323390456
BothReleased,HandStart,False,11,5,35.80038968177756
BothReleased,HandStart,False,11,6,38.116776409030564
BothReleased,HandStart,False,11,7,27.225748789217338
BothReleased,HandStart,False,11,8,47.312165752889214
BothReleased,HandStart,False,11,9,42.06953559339012
BothReleased,HandStart,False,11,10,37.97754792681229
BothReleased,HandStart,False,11,12,37.705609490293746
BothReleased,HandStart,False,5,1,38.772650968402026
BothReleased,HandStart,False,5,2,34.59179876703314
BothReleased,HandStart,False,5,3,39.0855800133143
BothReleased,HandStart,False,5,4,39.60671480738301
BothReleased,HandStart,False,5,6,40.90333223165496
BothReleased,HandStart,False,5,7,39.81080746271965
BothReleased,HandStart,False,5,8,50.51503851439071
BothReleased,HandStart,False,5,9,45.64631780035346
BothReleased,HandStart,False,5,10,40.23708475721338
BothReleased,HandStart,False,5,11,34.44655647180678
BothReleased,HandStart,False,5,12,37.766159058032855
BothReleased,HandStart,False,12,1,31.57058578230532
BothReleased,HandStart,False,12,2,27.455089854379302
BothReleased,HandStart,False,12,3,28.077091912548944
BothReleased,HandStart,False,12,4,28.411757776945997
BothReleased,HandStart,False,12,5,34.49186559020341
BothReleased,HandStart,False,12,6,36.25231032589416
BothReleased,HandStart,False,12,7,32.31567503626586
BothReleased,HandStart,False,12,8,42.94489817555485
BothReleased,HandStart,False,12,9,45.08637804229789
BothReleased,HandStart,False,12,10,29.1492731114389
BothReleased,HandStart,False,12,11,26.723630580107788
BothReleased,HandStart,False,9,1,27.63263691147412
BothReleased,HandStart,False,9,2,28.072974806019527
BothReleased,HandStart,False,9,3,23.898433643500994
BothReleased,HandStart,False,9,4,27.27036526965208
BothReleased,HandStart,False,9,5,30.903077304896595
BothReleased,HandStart,False,9,6,43.76518463113961
BothReleased,HandStart,False,9,7,35.81302467316344
BothReleased,HandStart,False,9,8,35.71145540317376
BothReleased,HandStart,False,9,10,26.31584601383451
BothReleased,HandStart,False,9,11,26.383945158542968
BothReleased,HandStart,False,9,12,26.31262636874504
BothReleased,HandStart,False,6,1,36.18195711920545
BothReleased,HandStart,False,6,2,34.068686395996046
BothReleased,HandStart,False,6,3,37.13473778955373
BothReleased,HandStart,False,6,4,42.1690746931946
BothReleased,HandStart,False,6,5,45.00405159604793
